# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.300952571414426551e+00 8.945365589161642372e-01 3.313615953869455955e-02 2.453437045506000053e+06
-7.300952546124465314e+00 8.837319095786619894e-01 3.313633063340618717e-02 2.453436795516999904e+06
-7.300952522206680229e+00 9.187369682601741472e-01 3.313618080070962479e-02 2.453437295402000193e+06
-7.300952498688434211e+00 8.676039345435018202e-01 3.313643920898324408e-02 2.453436545471999794e+06
-7.300448123917272270e+00 8.244014581348235726e-01 3.312902479023673713e-02 2.453435545491000172e+06
-7.300448123832101288e+00 8.339426822346396317e-01 3.312889182340305466e-02 2.453436045493000187e+06
-7.300448119575622563e+00 8.234803804825101547e-01 3.312890792257292688e-02 2.453435795378000010e+06
-7.300448110411097424e+00 8.533059595669681974e-01 3.312883527184164179e-02 2.453436295450000092e+06
-7.299139058477688735e+00 9.409264904230166815e-01 3.263239891624952066e-02 2.453437795493000187e+06
-7.299139012678356409e+00 9.279546011959637353e-01 3.263248807771720883e-02 2.453437545506999828e+06
-7.299139011839407942e+00 1.013403312096403663e+00 2.225169654940861372e-02 2.453438295415999833e+06
-7.299138969254830300e+00 9.667809575409318512e-01 2.225137759688897501e-02 2.453438045477000065e+06
-7.297624595360139743e+00 7.716485200932349242e-01 3.312367067289793965e-02 2.453434795737999957e+06
-7.297624579139873724e+00 7.870059535911080317e-01 3.312361481518678874e-02 2.453435045791000128e+06
-7.296348765826762950e+00 8.707739379760569554e-01 5.076350075228158037e-02 2.454531045280000195e+06
-7.296333321315827902e+00 8.707980548853090363e-01 5.076157766118525455e-02 2.454530545258999802e+06
-7.296176900759334671e+00 1.015033339525828859e+00 5.731653208906625080e-02 2.454531294608999975e+06
-7.295948071761534592e+00 1.021217262209021426e+00 5.722658850250517820e-02 2.454531544579999987e+06
-7.295865923382800489e+00 8.735984703521171291e-01 5.076259659442882571e-02 2.454530795260999817e+06
-7.295519098688751924e+00 1.032544446220145851e+00 5.722922687001559539e-02 2.454532044530999847e+06
-7.295431537728732430e+00 8.953151477372188749e-01 5.329309531855202370e-02 2.454530045262000058e+06
-7.295402595266915036e+00 8.707102533263380018e-01 5.076941616565519566e-02 2.454530295245999936e+06
-7.294997113756871876e+00 1.121065719386393100e+00 2.225761625118347076e-02 2.453439294970000163e+06
-7.294996984498342663e+00 1.078286251131735707e+00 2.225722039123949336e-02 2.453438795394000132e+06
-7.294996983282151071e+00 1.034598928574028243e+00 2.225698539133985979e-02 2.453438545357000083e+06
-7.294991039792591003e+00 1.023273552933483765e+00 5.722767896343551597e-02 2.454531794559000060e+06
-7.294973570757944614e+00 1.046393967028115712e+00 5.723042960115012207e-02 2.454532294304999989e+06
-7.294270807949936319e+00 1.045362122921302594e+00 5.724879070375134271e-02 2.454532544294999912e+06
-7.293553515379821661e+00 9.540708673311262267e-01 1.697565745294424278e-02 2.453070795289000031e+06
-7.293553514395597404e+00 9.869447150358099385e-01 1.697576844675342464e-02 2.453071295090999920e+06
-7.293553457577517385e+00 9.587323389200821389e-01 1.697567352792763579e-02 2.453071045398999937e+06
-7.293553429949502842e+00 9.269142757300130597e-01 1.697529475463278176e-02 2.453070545278000180e+06
-7.293449941569988049e+00 1.042562366775921179e+00 5.724935555693069084e-02 2.454532794276000001e+06
-7.293424503479327470e+00 1.048756072751507951e+00 5.725039580844936554e-02 2.454533044240999967e+06
-7.293204716291145751e+00 8.712652733134438332e-01 5.076660936669281921e-02 2.454529545307000168e+06
-7.293204715833104146e+00 8.689650225934063554e-01 5.076766794385433740e-02 2.454529795287999790e+06
-7.293040245447113712e+00 9.126622303015590187e-01 1.697510164566317162e-02 2.453070294939999934e+06
-7.293040220657090345e+00 8.651820272771912901e-01 1.697496494522439045e-02 2.453069795065999962e+06
-7.292482062143461619e+00 7.587319447729624633e-01 3.311529331909542073e-02 2.453434056158000138e+06
-7.292482060216829431e+00 7.597136976207687908e-01 3.311558426087764240e-02 2.453433543173999991e+06
-7.292481955953067363e+00 7.628432898734838208e-01 3.311661679072715886e-02 2.453434295748000033e+06
-7.292481954625945839e+00 7.502143662596131302e-01 3.311536029293299377e-02 2.453433792791000102e+06
-7.292434738678998052e+00 1.039011019750632370e+00 5.725144164733064062e-02 2.454533295684999786e+06
-7.292178373393505275e+00 8.529308798771039202e-01 5.080204652784864328e-02 2.454529295710000210e+06
-7.291779387277693480e+00 1.039358451890414425e+00 1.815229128139407219e-02 2.453071545045999810e+06
-7.291779386374086513e+00 1.055030235814831574e+00 1.815228517088546267e-02 2.453072044968000147e+06
-7.291779339289040429e+00 1.050699848724343077e+00 1.815217729082120937e-02 2.453072294677999802e+06
-7.291779293030590914e+00 1.064807735416656520e+00 1.815233348544055894e-02 2.453071794958000071e+06
-7.291759237171421937e+00 1.073526571036462318e+00 1.815223793069939764e-02 2.453072793922999874e+06
-7.291759188237215916e+00 1.058539217429408152e+00 1.815219491925504358e-02 2.453072544567999896e+06
-7.291759138429282139e+00 1.066712186464975343e+00 1.815211014711048260e-02 2.453073295659999829e+06
-7.290234814710705891e+00 8.496588818433237211e-01 1.697161059441736758e-02 2.453069294939999934e+06
-7.290234803795602403e+00 8.366076797622772343e-01 1.697201397945453244e-02 2.453068545407999773e+06
-7.290234792250934959e+00 8.622698416809144728e-01 1.697187109285057047e-02 2.453069045028000139e+06
-7.290234791820659588e+00 8.435288564173808457e-01 1.697190295479857752e-02 2.453068795096000191e+06
-7.290025330084098698e+00 1.051556048781162378e+00 5.725305151743775162e-02 2.454533545681000222e+06
-7.289987831021790932e+00 1.005927361472593207e+00 5.726201644433413784e-02 2.454534295624999795e+06
-7.289692047491954874e+00 8.683929730596169350e-01 5.080125484066852493e-02 2.454529044978999998e+06
-7.289653435065446274e+00 8.730323776857855655e-01 5.332262291640453566e-02 2.454528795363000128e+06
-7.288556113021378735e+00 1.142912341668021137e+00 2.226100012997736521e-02 2.453439794753000140e+06
-7.288555945369665778e+00 1.138428407342003013e+00 2.225870508550397212e-02 2.453440294335999992e+06
-7.288555861571476058e+00 1.149951688756804424e+00 2.225894508050610052e-02 2.453440044354000129e+06
-7.288555859982521312e+00 1.134760653905429795e+00 2.226057844770876898e-02 2.453439545043999795e+06
-7.287678407806426506e+00 1.121866684996330576e+00 1.815648498503582425e-02 2.453073795254999772e+06
-7.287678342256818098e+00 1.108256848070786837e+00 1.815632700758267395e-02 2.453074295411000028e+06
-7.287678273171818155e+00 1.118992980968692930e+00 1.815637980265866550e-02 2.453074045299999882e+06
