# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.179292 72080938.606502 69871.087692 0 0
2450190.243848 72241543.125671 69873.163465 0 0
2450190.445543 72213009.682485 69877.984894 0 0
2450190.525995 75186412.922521 102874.623807 0 0
2450191.431952 75418127.173892 102860.165326 0 0
2450192.189057 80979257.770135 102926.871761 0 0
2450194.343133 77839982.125075 102899.974700 0 0
2450194.362289 78029736.898113 102902.475269 0 0
2450195.187420 80551341.287770 102950.745534 0 0
2450196.416830 76864985.150447 102958.210062 0 0
2450197.165156 76011061.028272 102984.630068 0 0
2450197.208503 75399763.037611 102979.490860 0 0
2450198.040838 75686340.216976 103004.442423 0 0
2450198.244789 75474760.936911 103006.107820 0 0
2450198.415940 76579392.370760 103011.791616 0 0
2450198.541171 75085290.207065 103023.438420 0 0
2450199.240783 74714994.714645 102630.620478 0 0
2450199.640089 73815527.271909 102567.915211 0 0
2450199.968804 75458186.031730 102583.127980 0 0
2450200.581005 74436882.463840 102578.501851 0 0
2450200.829405 74510631.828625 102582.239622 0 0
2450201.072195 76917423.069062 102599.892062 0 0
2450201.352530 76056325.963029 102607.505164 0 0
2450201.455334 75612228.934706 102605.237040 0 0
2450201.697582 74025617.333065 102613.636850 0 0
2450201.939605 74292652.720683 102616.097718 0 0
2450202.181756 73756751.211500 102611.530669 0 0
2450202.451129 83253345.911754 102678.803440 0 0
2450202.693899 75852228.197718 102648.324709 0 0
2450202.936979 75012487.169679 102640.613536 0 0
2450203.581996 78574005.759043 102686.189276 0 0
2450203.951666 74059341.255710 102656.011491 0 0
2450204.321283 84269529.671918 102623.481901 0 0
2450204.542921 79661238.411899 102590.430753 0 0
2450204.912627 75365570.429955 102577.482316 0 0
2450205.272875 77922506.997642 102596.941113 0 0
2450205.611027 76540333.334286 102607.374685 0 0
2450206.524807 90949490.216992 102729.514064 0 0
2450206.886501 79695619.753897 102648.237661 0 0
2450207.250137 75200984.498275 102617.149715 0 0
2450207.568801 89587037.205014 102736.456126 0 0
2450207.930771 76016936.503339 102641.557606 0 0
2450208.560355 76861985.729163 102704.169591 0 0
2450208.869912 79477947.233300 102711.881203 0 0
2450209.179342 76634065.612891 102660.350789 0 0
2450209.503152 78225791.337972 102688.306915 0 0
2450209.812197 79857744.940493 102701.585867 0 0
2450210.121353 78458883.287839 102689.242868 0 0
2450210.608362 80454693.864341 102722.314608 0 0
2450210.850846 80324823.168908 102721.878478 0 0
2450211.093120 84054138.504592 102747.875859 0 0
