# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2450190.228552 1889124.099521 69251.525438 0 0
2450190.437762 1907949.139605 69263.272366 0 0
2450199.624815 1908311.510236 100388.939082 1 0
2450229.584587 1681147.604337 101045.007789 0 1
2450230.616413 1726446.705466 101093.929489 0 0
2450231.501208 1684330.679767 101110.202065 0 0
2450232.512828 1638552.164529 101129.532997 0 0
2450233.310861 1651309.754200 101131.506492 0 0
2450233.515804 1662126.422701 101149.566419 0 0
2450234.510055 1737095.034552 101162.424664 0 0
2450236.605078 2066411.199546 101180.869717 0 0
2450237.486227 2048435.273834 101182.624248 0 0
2450238.437262 2246186.293319 101378.867107 0 0
2450239.541179 2271668.525138 101579.983579 0 0
2450241.445346 2465544.599636 101595.583359 0 0
2450242.343074 2634487.862634 101611.518221 0 0
2450242.349190 2629500.303940 101611.559058 0 0
2450242.628790 2631621.769923 101622.883313 0 0
2450243.530751 2493074.047424 101778.853742 0 0
2450245.579265 2497635.044077 102302.674962 0 0
2450246.573789 2295824.086830 102019.870862 0 0
2450248.546451 2294476.701088 102587.347105 0 0
2450249.484727 2215703.481742 103966.618184 0 0
2450250.545739 2132825.257023 103991.607813 0 0
2450251.503907 2104488.134773 104003.384086 0 0
2450252.308926 2085437.255254 104002.301604 0 0
2450252.492536 2084611.426413 104008.848089 0 0
2450253.396022 2018828.892796 103968.185023 0 0
2450253.580692 2053072.523046 103977.499072 0 0
2450254.503419 2093402.394548 104032.672694 0 0
2450255.523872 2178399.327296 104036.658346 0 0
2450256.351376 2170034.895443 104034.854297 0 0
2450256.562648 2189065.388562 104043.642936 0 0
2450257.341357 2251281.533567 104045.725301 0 0
2450257.526541 2218713.334469 104028.299357 1 0
2450259.622919 2719324.585255 104129.500551 0 1
2450260.585762 2796293.961922 104137.504492 0 0
2450261.513895 2850932.472857 104136.456048 0 0
2450262.160511 2900994.716591 104137.681214 0 0
2450262.179528 2899165.504512 104136.653450 0 0
2450262.201926 2905718.698096 104137.436160 0 0
2450262.253459 2916891.670037 125917.323007 0 0
2450262.303064 2941821.156378 104114.216516 0 0
2450262.418020 2934517.906274 104170.550475 0 0
2450262.444837 2956737.942163 104170.932668 0 0
2450262.548190 2907794.688511 104176.980750 0 0
2450262.599730 2891631.135372 104177.404100 0 0
2450262.650172 2909869.824699 104178.650121 0 0
2450262.701756 2889101.477178 104176.518448 0 0
2450262.753068 2895024.729605 104175.839003 0 0
2450262.804581 2906118.168662 104175.920113 0 0
2450262.854546 2913175.956141 104177.875065 0 0
2450262.904697 2919421.913304 104176.342144 0 0
2450262.956427 2918732.892343 104175.855647 0 0
2450263.612024 2882587.859011 104178.322822 0 0
2450264.563522 2928242.416808 104229.615192 0 0
2450265.362082 2980649.284872 104248.207636 0 0
2450265.563609 2958853.128760 104257.429664 0 0
2450266.541301 2970272.439907 104259.116620 0 0
2450267.409073 2934763.826493 104256.559273 0 0
